"Qty";"Value";"Device";"Package";"Parts";"DENUMIRE TME";"PRET TME"
"1";;"0550_PKM13EPYH4002-B0";"BUZZER-12MM-NS-P5MM";"SG1";"LD-BZEN-1201? ";"1.2043RON/3buc"
"1";;"LM2596TV";"TO220-51";"IC12";"LM2596T-5.0? ";"13.5RON/buc"
"1";;"M03LONGPADS";"1X03_LONGPADS";"IR";"TSOP34838 ";"2.08RON/buc"
"1";;"R-US_0411/3V";"0411V";"R17";"GM5516? ";"0.2318RON/10buc"
"8";"10-XX";"10-XX";"B3F-10XX";"B1, B2, B3, B4, B5, B6, B7, B8";"TACT-67N-F?";"0.1713RON/10buc"
19;"100nF";"C5/2.5";"C5B2.5";"C1, C2, C4, C6, C7, C8, C9, C10, C12, C13, C14, C15, C16, C17, C19, C23, C29,C24, C28";"CC-100N?";"0.04901RON/100buc"
"3";"100uF";"CPOL-EUE2.5-6";"E2,5-6";"C20, C26, C27";"KM100/16? ";"0.12RON/25buc"
38;"10k";"RRS1/8";"RS1/8";"R9, R10, R11, R12, R13, R14, R15, R16, R45, R55, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67,R29, R30, R31, R32, R33, R43, R44, R46, R47, R48, R49, R50, R51, R52, R53, R54, R56, R57";"CF1/4W-10K? ";"0.02662RON/100buc"
"2";"1N5822";"1N5822";"DO201-15";"D9, D11";"1N5822? ";"0.3932RON/10buc"
"3";"1uF";"CPOL-EUE2.5-6";"E2,5-6";"C3, C5,C11";"CM-1U";"0.21524RON/10buc"
"9";"20k";"TRIM_EU-CA6V";"CA6V";"CONTRAST, R34, R35, R36, R37, R38, R39, R40, R41";"CA6V-10K? ";"0.5689RON/5buc"
"15";"220";"RRS1/8";"RS1/8";"R1, R2, R3, R4, R5, R6, R7, R8, R18, R19, R20, R21, R22, R23, R24";"CF1/4WS-220R ";"0.0291RON/100buc"
"1";"25VF512A-33SAE";"25VF512A-33SAE";"SOIC-8";"U$8";"25VF512A-33SAE? ";"2.4427RON/3buc"
"1";"27k";"REZISTORSRS1/8";"RS1/8";"R42";"CF1/4WS-27K? ";"0.02905RON/100buc"
"1";"32.768 kHz";"CRYSTAL_THT";"QS";"Q1";"32.768K-TC38 ";"0.6109RON/5buc"
"5";"3DIP_SW";"DS03";"DS-03";"S9, S10, S11, S12, S13";"DS-03 ";"2.5057RON/2buc"
"4";"4.7k";"RRS1/8";"RS1/8";"R25, R26, R27, R28";"MF0207FTE-4K7? ";"0.07144RON/100buc"
"1";"4511N";"4511N";"DIL16";"IC2";"CD4511BE? ";"1.1205RON/3buc"
"2";"470uF";"CPOL-EUE5-10.5";"E5-10,5";"C21, C25";"CE-470/16PHT? ";"0.16463RON/25buc"
"1";"74125N";"74125N";"DIL14";"IC6";"SN74AHC125N? ";"0.7279RON/5buc"
"1";"8DIP_SW";"DS08";"DS-08";"S22";"DS-08? ";"4.4522RON/buc"
"1";"AT24CP";"AT24CP";"DIL08";"IC7";"AT24C02C-PUM? ";"1.45RON/3buc"
"4";"BC547";"BC547";"TO92";"T1, T2, T3, T4";"BC547A? ";"0.08948RON/25buc"
"1";"EC12E_SW";"EC12E_SW ENCODER";"ALPS_EC12E_SW";"SW1";"ED16112O? ";"9.31RON/buc"
"1";"FH254-106DF08500V";"FH254-106DF08500V_STD";"1X06";"EXT_SENS";"ZL262-6SG? ";"0.24RON/10buc"
"20";"FH254-108DF08500V";"FH254-108DF08500V";"1X08";"7SEG, BUTTONS, COMMUNICATION, DIP_SW, ENCJOY, JP6, JP7, JP12, JP14, JP15, JP16, JP17, JP20, JP21, JP22, LCDH, LCDL, LEDS, POTS, SENSORS";"ZL262-8SG? ";"0.28426RON/10buc"
"1";"FH254-110DF08500V";"FH254-110DF08500V";"1X10";"AUREL_RTX-MID-5V";"ZL262-10SG? ";"0.26649RON/10buc"
"1";"LFD039AUE-102A? ";"LFD039AUE-102A? ";"LFD039AUE-102A? ";1;"LFD039AUE-102A? ";"3.04RON/buc"
"8";"G2RA";"G2RA";"G2RA";"K1, K2, K3, K4, K5, K6, K7, K8";"G2R-1A4-5DC? ";"5.55RON/buc"
"8";"GREEN_5mm";"L-7113GT";"LED5MM";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8";"OSNR5134B? ";"0.1283RON/20buc"
"1";"JOYSTICK";"JOYSTICKPTH";"JOYSTICK";"U2";"http://www.robofun.ro/joystick?search=joystick";
"1";"L298";"L298";"MULTIWATT-15";"IC13";"L298N? ";"10.95RON/nuc"
"1";"LMD12088AUE-101A";"LMD12088AUE-101A";"NFM-12881BG-11";"U$5";"LMD12088AUE-101A ";"6.69RON/buc"
"1";"MAX7219CNG";"MAX7219CNG";"DIL24-3";"IC5";"MAX7219CNG+ ";"26.92RON/buc"
"8";"MBRA140";"1N5400";"DO201-15";"D12, D13, D14, D15, D16, D17, D18, D19";"1N5402? ";"0.28922RON/10buc"
"3";"MCP23017SP";"MCP23017SP";"DIL28-3";"IC4, IC8, IC9";"MCP23017-E/SP? ";"5.12RON/buc"
"1";"MCP3201-CI/P";"MCP3201-CI/P";"DIL08";"ADC";"MCP3201-CI/P? ";"10.74RON/buc"
"1";"MCP4921";"MCP4921";"DIL08";"DAC";"MCP4921-E/P? ";"8.10RON/buc"
"1";"MKDSN1,5/6-5,08";"MKDSN1,5/6-5,08";"MKDSN1,5/6-5,08";"X3";;
"2";"MKDSN1,5/8-5,08";"MKDSN1,5/8-5,08";"MKDSN1,5/8-5,08";"OD1, OD2";;
"1";"NX1117CE33Z";"NX1117CE33Z,115";"SOT223";"IC11";"LD1117AS33? ";"0.7942RON/3buc"
"1";"PCF8563P";"PCF8563P";"DIL08";"IC3";;
"1";"POWERSUPPLY_DC21MMX";"POWERSUPPLY_DC21MMX";"POWERSUPPLY_DC-21MM";"X2";"PC-GK1.3 ";"0.5784RON/5buc"
"1";"SFT1030";"SFT1030";"SFT1030";"L1";"DTPU033A1?";"3.10RON/buc"
"1";"TMP36";"TMP36";"BC-TO92";"TMP1";"TMP36GT9Z? ";"4.30RON/buc"
"1";"LCD_16X2";"LCD_16X2";"LCD_16X2";"DIS1";"RC1602B? ";"23.22RON.buc"
"2";"ULN2803";"ULN2803A";"DIL18";"IC1, IC10";"ULN2803A? ";"2.1743RON/buc"
